build_failed,gh_is_pr,git_prev_commit_resolution_status,gh_team_size,git_num_all_built_commits,gh_num_commit_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,year_of_start,month_of_start,day_of_start,hour_of_start,elapsed_days_last_build,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,comm_avg_experience,totalNumberOfRevisions,no_config_edited,num_files_edited,num_distinct_authors,prev_build_result,day_week
0,0,2,40,1,0,0,0,0,0,1,0,0,0,0,1,314,45749,445.2337756,35.49804367,123.4562504,1,2013,5,8,16,-1,0,0,0,0,0,0,5,3,3,2,0,4
0,1,1,40,1,0,8,9,0,0,3,0,0,3,0,0,217,45749,445.4086428,35.49804367,123.4562504,1,2013,5,10,9,2,0,0,0,0,0,0,3,2,3,1,0,6
0,1,1,40,2,0,0,0,0,0,3,0,0,0,3,0,26,45749,445.4086428,35.49804367,123.4562504,1,2013,5,10,13,0,0,0,0,0,0,0,3,0,3,1,0,6
1,0,2,40,1,0,18,0,0,0,3,0,0,3,0,0,18,45964,443.8908711,35.33199896,122.9440432,1,2013,5,14,13,-1,0,0,0,0,0,0,22,2,14,2,0,3
1,0,2,40,1,0,121,4,0,0,4,0,0,3,0,0,238,45956,443.9681434,35.33814953,122.9654452,1,2013,5,14,13,-1,0,0,0,0,0,0,101,12,23,2,0,3
1,0,1,40,1,0,8,0,0,0,1,0,0,1,0,0,5,45956,443.9681434,35.33814953,122.9654452,1,2013,5,14,14,0,0,1,1,1,1,1,1,0,1,1,1,3
1,0,2,40,2,0,4,403,1,1,2,0,0,4,0,0,89,45956,445.9265384,35.35990948,122.9001654,1,2013,5,14,16,-1,0,0,0,0,0,0,17,2,15,2,0,3
1,1,1,40,1,0,8,0,0,0,3,0,0,1,2,0,62,45956,445.9265384,35.35990948,122.9001654,1,2013,5,15,11,1,0,1,1,0,0,0,3,0,3,1,1,4
1,1,1,40,1,0,131,0,0,0,5,0,0,5,0,0,91,45904,446.4316835,35.39996514,123.0393865,1,2013,5,15,14,0,0,1,1,0,0,0,5,3,5,1,1,4
1,0,1,40,1,0,2,0,0,0,1,0,0,1,0,0,5,45956,445.9265384,35.35990948,122.9001654,1,2013,5,15,14,0,0,1,1,0,0,0,1,0,1,1,0,4
1,1,1,40,1,0,1,0,0,0,1,0,0,1,0,0,19,44554,488.6205503,43.22844189,147.1921713,1,2013,5,17,7,4,0,1,1,0,0,0,1,0,1,1,0,6
0,1,1,40,1,0,1,0,0,0,1,0,0,1,0,0,24,45903,446.4414091,35.40073634,123.042067,1,2013,5,17,8,2,0,1,1,0,0,0,1,0,1,1,0,6
1,0,1,40,1,0,4,0,0,0,1,0,0,1,0,0,16,45903,446.4414091,35.40073634,123.042067,1,2013,5,17,14,0,0,1,1,0,0,0,1,0,1,1,0,6
0,1,1,41,1,0,0,0,0,0,1,0,0,0,0,1,17,45903,446.4414091,35.40073634,123.042067,1,2013,5,21,7,4,0,1,1,0,0,0,1,1,1,1,1,3
0,1,1,41,1,0,0,1,0,0,1,0,0,1,0,0,4,45956,445.9482984,35.35990948,122.9001654,1,2013,5,22,15,7,0,1,1,0,0,0,1,0,1,1,0,4
1,0,2,41,1,0,0,1,0,0,1,0,0,1,0,0,5,45903,446.2671285,35.40073634,123.042067,1,2013,5,22,17,-1,0,0,0,0,0,0,13,6,13,1,0,4
